year,month,day,EUR/USD
1992,11,13,1.25
1992,11,12,1.2429
1992,11,11,1.2367
1992,11,10,1.2325
1992,11,9,1.2295
1992,11,6,1.2317
1992,11,5,1.2411
1992,11,4,1.2519
1992,11,3,1.2545
1992,11,2,1.2551
1992,10,30,1.2729
1992,10,29,1.2762
1992,10,28,1.2709
1992,10,27,1.2833
1992,10,26,1.2814
1992,10,23,1.284
1992,10,22,1.2993
1992,10,21,1.2856
1992,10,20,1.2924
1992,10,19,1.299
1992,10,16,1.316
1992,10,15,1.3414
1992,10,14,1.3395
1992,10,13,1.3325
1992,10,12,1.3245
1992,10,9,1.3155
1992,10,8,1.3172
1992,10,7,1.343
