,year,month,day,XAU_Price
790,2021,4,8,27281.06
789,2021,4,9,27595.39
788,2021,4,12,27392.85
787,2021,4,13,27188.71
786,2021,4,14,27384.48
785,2021,4,15,27210.12
784,2021,4,16,27653.2
783,2021,4,19,27883.91
782,2021,4,20,27802.15
781,2021,4,21,27937.24
780,2021,4,22,28123.8
779,2021,4,23,28012.67
778,2021,4,26,27919.71
777,2021,4,27,27949.57
776,2021,4,28,27846.6
775,2021,4,29,27900.81
774,2021,4,30,27750.57
773,2021,5,3,27694.66
772,2021,5,4,28078.14
771,2021,5,5,27875.1
770,2021,5,6,28000.05
769,2021,5,7,28445.36
768,2021,5,10,28720.11
767,2021,5,11,28769.29
766,2021,5,12,28810.93
765,2021,5,13,28464.31
764,2021,5,14,28609.29
763,2021,5,17,28966.81
762,2021,5,18,29291.13
761,2021,5,19,29312.87
760,2021,5,20,29315.38
759,2021,5,21,29437.73
758,2021,5,24,29458.72
757,2021,5,25,29463.5
756,2021,5,26,29759.64
755,2021,5,27,29740.99
754,2021,5,28,29741.79
753,2021,5,31,29849.97
752,2021,6,1,29938.62
751,2021,6,2,29797.13
750,2021,6,3,29941.5
749,2021,6,4,29348.56
748,2021,6,7,29630.46
747,2021,6,8,29803.92
746,2021,6,9,29624.21
745,2021,6,10,29617.9
744,2021,6,11,29747.76
743,2021,6,14,29365.46
742,2021,6,15,29225.36
741,2021,6,16,29127.35
740,2021,6,17,28370.96
739,2021,6,18,27778.68
738,2021,6,21,27613.59
737,2021,6,22,27925.65
736,2021,6,23,27889.18
735,2021,6,24,27859.68
734,2021,6,25,27822.04
733,2021,6,28,27956.65
732,2021,6,29,27867.55
731,2021,6,30,27597.47
730,2021,7,1,27783.46
729,2021,7,2,27884.55
728,2021,7,5,28017.68
727,2021,7,6,28096.7
726,2021,7,7,28195.27
725,2021,7,8,28264.35
724,2021,7,9,28287.47
723,2021,7,12,28366.68
722,2021,7,13,28322.5
721,2021,7,14,28363.03
720,2021,7,15,28690.78
719,2021,7,16,28732.18
718,2021,7,19,28406.62
717,2021,7,20,28416.76
716,2021,7,21,28366.57
715,2021,7,22,28274.91
714,2021,7,23,28315.64
713,2021,7,26,28333.07
712,2021,7,27,28202.74
711,2021,7,28,28221.55
710,2021,7,29,28372.83
709,2021,7,30,28712.29
708,2021,8,2,28448.95
707,2021,8,3,28472.6
706,2021,8,4,28422.46
705,2021,8,5,28457.03
704,2021,8,6,28338.07
703,2021,8,9,27684.57
702,2021,8,10,27156.15
701,2021,8,11,27146.82
700,2021,8,12,27501.59
699,2021,8,13,27518.14
698,2021,8,16,27941.91
697,2021,8,17,28019.94
696,2021,8,18,28057.79
695,2021,8,19,28064.81
694,2021,8,20,27947.91
693,2021,8,23,28007.98
692,2021,8,24,28342.38
691,2021,8,25,28303.13
690,2021,8,26,28113.17
689,2021,8,27,28126.45
688,2021,8,30,28578.63
687,2021,8,31,28421.88
686,2021,9,1,28481.34
685,2021,9,2,28489.69
684,2021,9,3,28418.81
683,2021,9,6,28764.82
682,2021,9,7,28643.59
681,2021,9,8,28196.43
680,2021,9,9,28134.43
679,2021,9,10,28192.34
678,2021,9,13,28084.39
677,2021,9,14,28197.7
676,2021,9,15,28352.11
675,2021,9,16,28187.97
674,2021,9,17,27558.5
673,2021,9,20,27559.99
672,2021,9,21,27745.91
671,2021,9,22,27858.82
670,2021,9,23,27777.6
669,2021,9,24,27360.05
