Date,Price,Open,High,Low
07/26/1995,1.3389,1.3308,1.3425,1.3299
07/25/1995,1.3299,1.3365,1.3394,1.3293
07/24/1995,1.3370,1.3340,1.3405,1.3340
07/21/1995,1.3363,1.3379,1.3388,1.3329
07/20/1995,1.3379,1.3431,1.3445,1.3350
07/19/1995,1.3440,1.3319,1.3465,1.3317
07/18/1995,1.3330,1.3273,1.3371,1.3262
07/17/1995,1.3265,1.3287,1.3297,1.3245
07/14/1995,1.3305,1.3318,1.3346,1.3267
07/13/1995,1.3318,1.3205,1.3347,1.3127
07/12/1995,1.3216,1.3190,1.3245,1.3179
07/11/1995,1.3182,1.3270,1.3274,1.3180
07/10/1995,1.3275,1.3286,1.3310,1.3235
07/07/1995,1.3286,1.3353,1.3359,1.3217
07/06/1995,1.3382,1.3360,1.3382,1.3325
07/05/1995,1.3373,1.3337,1.3377,1.3310
07/04/1995,1.3325,1.3337,1.3363,1.3325
07/03/1995,1.3342,1.3323,1.3380,1.3312
06/30/1995,1.3321,1.3334,1.3334,1.3269
06/29/1995,1.3353,1.3193,1.3359,1.3179
06/28/1995,1.3188,1.3264,1.3325,1.3133
06/27/1995,1.3264,1.3262,1.3315,1.3259
06/26/1995,1.3246,1.3315,1.3321,1.3209
06/23/1995,1.3315,1.3206,1.3322,1.3198
06/22/1995,1.3206,1.3284,1.3360,1.3187
06/21/1995,1.3284,1.3290,1.3290,1.3233
06/20/1995,1.3274,1.3220,1.3282,1.3198
06/19/1995,1.3217,1.3196,1.3240,1.3150
06/16/1995,1.3196,1.3150,1.3220,1.3125
06/15/1995,1.3150,1.3215,1.3245,1.3089
06/14/1995,1.3200,1.3114,1.3237,1.3089
06/13/1995,1.3114,1.3185,1.3218,1.3105
06/12/1995,1.3153,1.3152,1.3193,1.3116
06/09/1995,1.3142,1.3128,1.3203,1.3110
06/08/1995,1.3128,1.3100,1.3140,1.3012
06/07/1995,1.3098,1.3110,1.3159,1.3095
06/06/1995,1.3113,1.3130,1.3140,1.3048
06/05/1995,1.3123,1.3022,1.3197,1.3022
06/02/1995,1.3022,1.3148,1.3242,1.3022
06/01/1995,1.3157,1.3075,1.3157,1.2913
05/31/1995,1.3050,1.3225,1.3322,1.3023
05/30/1995,1.3228,1.3310,1.3312,1.3222
05/29/1995,1.3266,1.3357,1.3357,1.3266
05/26/1995,1.3365,1.3153,1.3375,1.3137
05/25/1995,1.3164,1.2815,1.3185,1.2815
05/24/1995,1.2818,1.2745,1.2833,1.2732
05/23/1995,1.2748,1.2808,1.2851,1.2725
05/22/1995,1.2818,1.2805,1.2855,1.2728
05/19/1995,1.2805,1.2710,1.2883,1.2710
05/18/1995,1.2710,1.2794,1.2822,1.2655
05/17/1995,1.2803,1.2841,1.2925,1.2769
05/16/1995,1.2843,1.2912,1.2952,1.2761
05/15/1995,1.2904,1.2775,1.2921,1.2759
05/12/1995,1.2811,1.2900,1.2900,1.2739
05/11/1995,1.2989,1.3266,1.3267,1.2989
05/10/1995,1.3254,1.3325,1.3346,1.3215
05/09/1995,1.3299,1.3427,1.3428,1.3290
